property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1.0,53.0,6,7,4.0,3.0,4500.0,1,1,2,2.0,2.0,16.0
0.0,10.0,3,4,4.0,3.0,1186.0,1,0,1,0.0,2.0,1.25
0.0,6.0,2,2,2.0,3.0,1094.59,0,0,1,2.0,2.0,1.24
1.0,27.0,4,3,2.0,0.0,1557.0,0,1,2,2.0,2.0,2.68
0.0,100.0,3,3,1.0,3.0,1900.0,0,0,2,0.0,0.0,1.55
0.0,57.0,3,4,4.0,0.0,2159.0,0,0,1,1.0,2.0,2.7
0.0,98.0,2,2,3.0,3.0,1450.45,0,0,2,2.0,2.0,1.2
0.0,7.0,2,2,2.0,3.0,696.47,0,0,1,1.0,2.0,0.5
0.0,81.0,3,2,1.0,1.0,888.89,0,0,1,1.0,1.0,0.48
0.0,101.0,3,3,4.0,1.0,1305.68,0,0,1,2.0,2.0,1.75
0.0,63.0,4,5,4.0,3.0,3444.44,1,0,1,1.0,2.0,11.0
0.0,100.0,4,6,2.0,1.0,2509.91,1,0,1,2.0,0.0,1.3
0.0,113.0,2,2,2.0,3.0,534.44,0,0,1,2.0,2.0,0.29
0.0,107.0,2,2,2.0,3.0,900.9,0,0,1,2.0,1.0,0.5
0.0,97.0,3,3,2.0,3.0,1581.08,0,1,2,0.0,2.0,1.1
0.0,6.0,3,4,2.0,3.0,1583.12,1,0,2,0.0,0.0,1.91
0.0,75.0,3,3,4.0,3.0,2800.0,1,0,2,0.0,0.0,5.0
0.0,98.0,2,2,1.0,3.0,1144.14,0,0,1,1.0,2.0,1.2
0.0,75.0,2,2,2.0,3.0,1433.0,0,0,1,1.0,0.0,2.0
0.0,94.0,3,3,4.0,3.0,1650.0,1,0,0,1.0,0.0,2.4
0.0,91.0,3,3,3.0,1.0,1655.56,0,0,2,2.0,1.0,1.4
0.0,109.0,2,2,2.0,3.0,695.0,0,0,1,1.0,0.0,0.45
0.0,82.0,6,7,4.0,3.0,5333.33,1,0,1,2.0,1.0,5.0
0.0,94.0,2,2,1.0,3.0,546.04,0,0,2,1.0,0.0,0.48
0.0,106.0,4,3,4.0,3.0,2101.47,1,1,1,2.0,2.0,1.75
0.0,7.0,2,2,3.0,3.0,1077.4,0,0,2,0.0,2.0,1.15
0.0,19.0,3,3,4.0,3.0,2460.0,1,0,1,0.0,2.0,3.0
0.0,6.0,3,3,3.0,3.0,1311.58,1,0,1,2.0,2.0,1.4
0.0,75.0,2,2,3.0,1.0,1012.46,0,0,1,1.0,2.0,2.1
0.0,111.0,3,5,3.0,1.0,1732.88,1,0,1,2.0,0.0,1.32
